date,sales,day,daytype
27/8/2015,28,Thursday,weekday
28/8/2015,35,Friday,weekday
29/8/2015,34,Saturday,weekend
30/8/2015,21,Sunday,weekend
31/8/2015,33,Monday,weekday
1/9/2015,31,Tuesday,weekday
2/9/2015,35,Wednesday,weekday
3/9/2015,30,Thursday,weekday
4/9/2015,41,Friday,weekday
5/9/2015,33,Saturday,weekend
6/9/2015,14,Sunday,weekend
7/9/2015,32,Monday,weekday
8/9/2015,29,Tuesday,weekday
9/9/2015,32,Wednesday,weekday
10/9/2015,33,Thursday,weekday
11/9/2015,33,Friday,weekday
12/9/2015,35,Saturday,weekend
13/9/2015,32,Sunday,weekend
14/9/2015,31,Monday,weekday
15/9/2015,41,Tuesday,weekday
16/9/2015,31,Wednesday,weekday
17/9/2015,30,Thursday,weekday
18/9/2015,35,Friday,weekday
19/9/2015,40,Saturday,weekend
20/9/2015,25,Sunday,weekend
21/9/2015,32,Monday,weekday
22/9/2015,27,Tuesday,weekday
23/9/2015,24,Wednesday,weekday
24/9/2015,34,Thursday,weekday
25/9/2015,37,Friday,weekday
26/9/2015,33,Saturday,weekend
27/9/2015,39,Sunday,weekend
28/9/2015,31,Monday,weekday
29/9/2015,35,Tuesday,weekday
30/9/2015,28,Wednesday,weekday
1/10/2015,24,Thursday,weekday
2/10/2015,34,Friday,weekday
3/10/2015,25,Saturday,weekend
4/10/2015,22,Sunday,weekend
5/10/2015,31,Monday,weekday
6/10/2015,41,Tuesday,weekday
7/10/2015,35,Wednesday,weekday
8/10/2015,22,Thursday,weekday
9/10/2015,28,Friday,weekday
10/10/2015,26,Saturday,weekend
11/10/2015,61,Sunday,weekend
12/10/2015,26,Monday,weekday
13/10/2015,35,Tuesday,weekday
14/10/2015,27,Wednesday,weekday
15/10/2015,24,Thursday,weekday
16/10/2015,37,Friday,weekday
17/10/2015,27,Saturday,weekend
18/10/2015,34,Sunday,weekend
19/10/2015,34,Monday,weekday
20/10/2015,25,Tuesday,weekday
21/10/2015,23,Wednesday,weekday
22/10/2015,27,Thursday,weekday
23/10/2015,25,Friday,weekday
24/10/2015,39,Saturday,weekend
25/10/2015,37,Sunday,weekend
26/10/2015,28,Monday,weekday
27/10/2015,34,Tuesday,weekday
28/10/2015,24,Wednesday,weekday
29/10/2015,23,Thursday,weekday
30/10/2015,29,Friday,weekday
31/10/2015,50,Saturday,weekend
1/11/2015,43,Sunday,weekend
2/11/2015,28,Monday,weekday
3/11/2015,39,Tuesday,weekday
4/11/2015,32,Wednesday,weekday
5/11/2015,24,Thursday,weekday
6/11/2015,44,Friday,weekday
7/11/2015,27,Saturday,weekend
8/11/2015,38,Sunday,weekend
9/11/2015,25,Monday,weekday
10/11/2015,37,Tuesday,weekday
11/11/2015,28,Wednesday,weekday
12/11/2015,33,Thursday,weekday
13/11/2015,33,Friday,weekday
14/11/2015,27,Saturday,weekend
15/11/2015,27,Sunday,weekend
16/11/2015,15,Monday,weekday
17/11/2015,36,Tuesday,weekday
18/11/2015,26,Wednesday,weekday
19/11/2015,27,Thursday,weekday
20/11/2015,60,Friday,weekday
21/11/2015,53,Saturday,weekend
22/11/2015,29,Sunday,weekend
23/11/2015,18,Monday,weekday
24/11/2015,44,Tuesday,weekday
25/11/2015,28,Wednesday,weekday
26/11/2015,34,Thursday,weekday
27/11/2015,30,Friday,weekday
28/11/2015,39,Saturday,weekend
29/11/2015,37,Sunday,weekend
30/11/2015,32,Monday,weekday
1/12/2015,26,Tuesday,weekday
2/12/2015,22,Wednesday,weekday
3/12/2015,34,Thursday,weekday
4/12/2015,31,Friday,weekday
5/12/2015,47,Saturday,weekend
6/12/2015,22,Sunday,weekend
7/12/2015,42,Monday,weekday
8/12/2015,29,Tuesday,weekday
9/12/2015,28,Wednesday,weekday
10/12/2015,23,Thursday,weekday
11/12/2015,29,Friday,weekday
12/12/2015,37,Saturday,weekend
13/12/2015,31,Sunday,weekend
14/12/2015,34,Monday,weekday
15/12/2015,32,Tuesday,weekday
16/12/2015,28,Wednesday,weekday
17/12/2015,27,Thursday,weekday
18/12/2015,28,Friday,weekday
19/12/2015,22,Saturday,weekend
20/12/2015,17,Sunday,weekend
21/12/2015,21,Monday,weekday
22/12/2015,18,Tuesday,weekday
23/12/2015,24,Wednesday,weekday
24/12/2015,33,Thursday,weekday
